Ngày,Lần cuối
03/11/2008,972.0
04/11/2008,1020.0
05/11/2008,1068.0
06/11/2008,1107.0
07/11/2008,1053.0
10/11/2008,1056.0
11/11/2008,1005.0
12/11/2008,963.0
13/11/2008,978.0
14/11/2008,999.0
17/11/2008,984.0
18/11/2008,954.0
19/11/2008,951.0
20/11/2008,906.0
21/11/2008,900.0
24/11/2008,909.0
25/11/2008,933.0
26/11/2008,912.0
27/11/2008,873.0
28/11/2008,915.0
01/12/2008,915.0
02/12/2008,897.0
03/12/2008,900.0
04/12/2008,906.0
05/12/2008,881.0
08/12/2008,837.0
09/12/2008,865.0
10/12/2008,847.0
11/12/2008,862.0
12/12/2008,903.0
15/12/2008,946.0
16/12/2008,900.0
17/12/2008,931.0
18/12/2008,940.0
19/12/2008,940.0
22/12/2008,971.0
23/12/2008,949.0
24/12/2008,949.0
25/12/2008,952.0
26/12/2008,965.0
29/12/2008,965.0
30/12/2008,996.0
31/12/2008,980.0
02/01/2009,965.0
05/01/2009,956.0
06/01/2009,971.0
07/01/2009,1002.0
08/01/2009,987.0
09/01/2009,990.0
12/01/2009,990.0
13/01/2009,974.0
14/01/2009,974.0
15/01/2009,971.0
16/01/2009,968.0
19/01/2009,956.0
20/01/2009,952.0
21/01/2009,937.0
22/01/2009,949.0
23/01/2009,959.0
02/02/2009,934.0
03/02/2009,915.0
04/02/2009,884.0
05/02/2009,850.0
06/02/2009,865.0
09/02/2009,906.0
10/02/2009,931.0
11/02/2009,924.0
12/02/2009,924.0
13/02/2009,918.0
16/02/2009,900.0
17/02/2009,862.0
18/02/2009,834.0
19/02/2009,844.0
20/02/2009,834.0
23/02/2009,794.0
24/02/2009,756.0
25/02/2009,794.0
26/02/2009,778.0
27/02/2009,794.0
02/03/2009,794.0
03/03/2009,769.0
04/03/2009,775.0
05/03/2009,794.0
06/03/2009,794.0
09/03/2009,791.0
10/03/2009,819.0
11/03/2009,853.0
12/03/2009,822.0
13/03/2009,816.0
16/03/2009,847.0
17/03/2009,884.0
18/03/2009,909.0
19/03/2009,865.0
20/03/2009,856.0
23/03/2009,853.0
24/03/2009,893.0
25/03/2009,937.0
26/03/2009,984.0
27/03/2009,996.0
30/03/2009,968.0
31/03/2009,956.0
01/04/2009,1002.0
02/04/2009,1052.0
03/04/2009,1102.0
07/04/2009,1155.0
08/04/2009,1105.0
09/04/2009,1105.0
10/04/2009,1158.0
13/04/2009,1214.0
14/04/2009,1275.0
15/04/2009,1224.0
16/04/2009,1284.0
17/04/2009,1246.0
20/04/2009,1188.0
