ngay;dongcua
01/12/2021;102
01/11/2021;101
01/08/2021;99
01/07/2021;98
01/06/2021;98
01/05/2021;98
01/04/2021;96
12/31/2020;96
12/30/2020;96
12/29/2020;95
12/28/2020;94
12/25/2020;94
12/24/2020;94
12/23/2020;94
12/22/2020;94
12/21/2020;95
12/18/2020;93
12/17/2020;93
12/16/2020;95
12/15/2020;95
12/14/2020;97
12/11/2020;95
12/10/2020;93
12/09/2020;94
12/08/2020;93
12/07/2020;94
12/04/2020;94
12/03/2020;94
12/02/2020;93
12/01/2020;93
11/30/2020;92
11/27/2020;94
11/26/2020;94
11/25/2020;94
11/24/2020;92
11/23/2020;92
11/20/2020;92
11/19/2020;92
11/18/2020;93
11/17/2020;94
11/16/2020;91
11/13/2020;95
11/12/2020;95
11/11/2020;94
11/10/2020;94
11/09/2020;94
11/06/2020;93
11/05/2020;93
11/04/2020;92
11/03/2020;93
11/02/2020;95
10/30/2020;95
10/29/2020;90
10/28/2020;89
10/27/2020;94
10/26/2020;93
10/23/2020;92
10/22/2020;89
10/21/2020;86
10/20/2020;87
10/19/2020;87
10/16/2020;87
10/15/2020;87
10/14/2020;84
10/13/2020;84
10/12/2020;83
10/09/2020;83
10/08/2020;82
10/07/2020;82
10/06/2020;82
10/05/2020;83
10/02/2020;84
10/01/2020;82
9/30/2020;81
9/29/2020;81
9/28/2020;82
9/25/2020;82
9/24/2020;83
9/23/2020;84
9/22/2020;84
9/21/2020;85
9/18/2020;84
9/17/2020;84
9/16/2020;85
9/15/2020;84
9/14/2020;83
09/11/2020;81
09/10/2020;80
09/09/2020;80
09/08/2020;80
09/07/2020;81
09/04/2020;84
09/03/2020;84
09/01/2020;82
8/31/2020;80
8/28/2020;80
8/27/2020;81
8/26/2020;81
8/25/2020;81
8/24/2020;79
8/21/2020;77
8/20/2020;76
8/19/2020;77
8/18/2020;77
8/17/2020;78
8/14/2020;78
8/13/2020;78
08/12/2020;78
08/11/2020;78
08/10/2020;78
08/07/2020;78
08/06/2020;78
08/05/2020;77
08/04/2020;78
08/03/2020;78
7/31/2020;78
7/30/2020;76
7/29/2020;74
7/28/2020;76
7/27/2020;76
7/24/2020;78
7/23/2020;80
7/22/2020;80
7/21/2020;80
7/20/2020;80
7/17/2020;81
7/16/2020;83
7/15/2020;80
7/14/2020;81
7/13/2020;81
07/10/2020;81
07/09/2020;81
07/08/2020;81
07/07/2020;81
07/06/2020;81
07/03/2020;80
07/02/2020;80
07/01/2020;81
6/30/2020;79
6/29/2020;79
6/26/2020;81
6/25/2020;83
6/24/2020;84
6/23/2020;84
6/22/2020;86
6/19/2020;86
6/18/2020;81
6/17/2020;82
6/16/2020;83
6/15/2020;79
06/12/2020;82
06/11/2020;83
06/10/2020;85
06/09/2020;86
06/08/2020;85
06/05/2020;84
06/04/2020;85
06/03/2020;86
06/02/2020;86
06/01/2020;86
5/29/2020;86
5/28/2020;86
5/27/2020;86
